Warning: Permanently added 'test1' (ED25519) to the list of known hosts.

Unauthorized access to this system is prohibited.

If you are not an authorized user, disconnect immediately.
rm: cannot remove '/mnt/shared/.pmtimed': Input/output error
/src/mxfs/tests/repro_pm_timed.sh: line 21: /mnt/shared/.pmtimed/n1_f90: Input/output error
/src/mxfs/tests/repro_pm_timed.sh: line 21: /mnt/shared/.pmtimed/n1_f91: Input/output error
/src/mxfs/tests/repro_pm_timed.sh: line 21: /mnt/shared/.pmtimed/n1_f92: Input/output error
/src/mxfs/tests/repro_pm_timed.sh: line 21: /mnt/shared/.pmtimed/n1_f93: Input/output error
/src/mxfs/tests/repro_pm_timed.sh: line 21: /mnt/shared/.pmtimed/n1_f94: Input/output error
/src/mxfs/tests/repro_pm_timed.sh: line 21: /mnt/shared/.pmtimed/n1_f95: Input/output error
/src/mxfs/tests/repro_pm_timed.sh: line 21: /mnt/shared/.pmtimed/n1_f96: Input/output error
/src/mxfs/tests/repro_pm_timed.sh: line 21: /mnt/shared/.pmtimed/n1_f97: Input/output error
/src/mxfs/tests/repro_pm_timed.sh: line 21: /mnt/shared/.pmtimed/n1_f98: Input/output error
/src/mxfs/tests/repro_pm_timed.sh: line 21: /mnt/shared/.pmtimed/n1_f99: Input/output error
/src/mxfs/tests/repro_pm_timed.sh: line 21: /mnt/shared/.pmtimed/n1_f100: Input/output error
ls: cannot access '/mnt/shared/.pmtimed': Input/output error
/src/mxfs/tests/repro_pm_timed.sh: line 35: /mnt/shared/.pmtimed/c_1: Input/output error
R1 PHASE create=.006094557s sync=.044026048s bar_created=2.060798373s count=.006014613s(saw=0) bar_counted=2.012402940s bar_wrote=2.060455738s peerread=.004779887s(got=)
